subject-English	題目-Chinese	Answer-English	答案-Chinese	構面	FCB	
There is a documented digital vision document incorporating all channels and products.	公司的願景，已涵蓋所有虛實通路與數位產品的未來三年內的發展策略？	Yes/True、No/False	是、否	願景	V	
The delivery of the digital vision forms part of the balanced scorecard at executive level.	數位經營績效，已納入您的績效考核項目(KPI)之一？	Yes/True、No/False	是、否	願景	V	new add
Digital is a critical consideration in every business, product or channel strategy (i.e. is a mandated consideration).	公司在規劃各項新業務、產品或通路策略時，都已將數位化納入考慮因素。	Yes/True、No/False	是、否	數位化在組織中的定位	V	
There is a recognised team that manages and improves the digital channel.	公司內部是否有明確專責團隊，負責管理並改善數位通路(如網銀、行銀)？	Yes/True、No/False	是、否	數位化在組織中的定位	V	
Digital as a distribution channel receives specific funding for improvements.	公司對數位通路，已提供特定資金挹注與資源，以優化其功能?	Yes/True、No/False	是、否	數位化的策略性規劃及投資	V	
Digital features as one of the strategic priorities and investment areas for the organisation.	公司訂定年度經營策略時，已將數位轉型議題，納入重點發展項目?	Yes/True、No/False	是、否	數位化的策略性規劃及投資	V	new add
Digital benefit types and formulas are established to ensure consistent calculation of benefits across the enterprise.	公司對於數位通路已設立有獨立財務報表，以評估其經營績效?	Yes/True、No/False	是、否	數位化的策略性規劃及投資	V	delete as it is quite hard to answer
There is a dedicated team who scan the market for smaller digital innovators and approach third parties to understand themes and trends.	公司具專職團隊，負責洽談科技創新公司（如Fintech），以掌握數位發展主題與趨勢。	Yes/True、No/False	是、否	策略更新及持續性監控	V	
Digital functionality and market position is reviewed alongside sales and service MI.	公司在規劃各產品銷售策略時，已將產品的數位功能，列為與競爭者區隔的重要考量。	Yes/True、No/False	是、否	策略更新及持續性監控	V	
