subject-English	題目-Chinese	Answer-English	答案-Chinese	構面	FCB
New initiatives, recommendations and supporting business cases are founded from the digital analytics capability.	公司已運用資料分析結果，來規劃創新數位計畫，並支援業務發展。	Yes/True、No/False	是、否	範圍	V
There is mandatory investment budget in place to ensure the business's data analytics capability is continually best in class.	公司已設有年度預算，以提升資料分析能力。	Yes/True、No/False	是、否	目標	V
Data analytics is viewed as the core capability to revolutionise the business.	資料分析被視為確保業務創新改革的核心能力。	Yes/True、No/False	是、否	目標	V
Data analytics is used across the whole organisation.	資料分析在公司組織內被廣泛運用。	Yes/True、No/False	是、否	範圍	V
Data analytics resource are empowered to make decisions and drive change off the back of insight.	資料分析人員被充分授權，可根據分析結果進行決策推動。	Yes/True、No/False	是、否	資源配置	V
Data analytics resource are multi-disciplined, with a structure in place to effectively support analysis requirements across the whole business.	公司已具備高效能的資料分析人員，並能滿足各項業務的分析需求。	Yes/True、No/False	是、否	資源配置	V
There is the ability to carry out analysis to understand the individual lifetime value of their customers.	公司具有預測客戶未來價值(Life Time Value)的能力。	Yes/True、No/False	是、否	工具、科技及資料整合	V
Data analytics is used to optimise online marketing campaigns.	公司已使用資料分析優化線上行銷活動。	Yes/True、No/False	是、否	工具、科技及資料整合	V
